number,title,genre,rating,casting,place,period
1,위키드,라이선스,9.6,"['옥주현', '손승연', '정선아', '나하나', '서경수', '진태화', '남경주', '이상준', '이소유', '김지선', '이우승', '전민지', '임규형']",블루스퀘어 신한카드홀 (구 인터파크홀),"	2021/02/12 ~ 2021/05/01"
2,맨 오브 라만차,라이선스,9.8,"['류정한', '조승우', '홍광호', '윤공주', '김지현', '최수진', '이훈진', '정원영', '서영주', '김대종', '박인배', '조성지', '김호', '정단영', '김현숙', '김진철', '최원섭']",샤롯데씨어터,2021/02/02 ~ 2021/03/01 
3,몬테크리스토,라이선스,9.5,"['엄기준', '카이', '신성록', '옥주현', '린아', '이지혜', '최민철', '김준현', '강태을', '이종문', '문성혁', '최성원', '임별', '이상준', '이한밀', '김영주', '전수미', '박준휘', '신재범', '윤조', '임예진', '최지혜']",LG아트센터,2020/11/17 ~ 2021/03/28 
4,젠틀맨스 가이드,라이선스,9.8,"['김동완', '박은태', '이상이', '오만석', '정상훈', '이규형', '최재림', '임혜영', '김지우', '김아선', '선우', '장예원', '지원선', '고철순']",홍익대 대학로 아트센터 대극장,2020/11/20 ~ 2021/03/01 
5,명성황후,창작,8.8,"['김소현', '신영숙', '강필석', '손준호', '박민성', '윤형렬', '이창섭', '이정열', '서범석', '김도형', '최민철', '임선애', '박혜미', '정목화', '김가희', '구원모', '김태현', '박상희', '조영태', '송형은', '이운재', '최연우', '육예서']",예술의전당 오페라극장,2021/01/06 ~ 2021/03/07 
6,배니싱,창작,9.8,"['김종구', '이주광', '주민진', '에녹', '정민', '박규원', '유승현', '배나라', '조훈']",아트원씨어터 1관,2020/11/01 ~ 2021/02/21 
7,호프,창작,9.7,"['김선영', '김지현', '김경수', '고훈정', '조형균', '최은실', '김려원', '최서연', '이예은', '이윤하', '지혜근', '김순택', '진태화', '이승헌', '임하람', '박좌헌', '반정모', '조민호']",두산아트센터 연강홀,2020/11/19 ~ 2021/02/21 
8,고스트,라이선스,9.5,"['주원', '김우형', '김진욱', '아이비', '박지연', '김승대', '백형훈', '최정원', '박준면', '전재현', '김시영', '김기정', '김성수', '강동우']",디큐브아트센터,2020/10/06 ~ 2021/03/14 
9,그날들,창작,9.5,"['유준상', '이건명', '정성화', '민우혁', '온주완', '조형균', '양요섭', '김인성', '루나', '방민아', '효은', '서현철', '이정열', '고창석', '최지호', '김산호', '박정표', '김호창', '임진아', '김보정', '이휴', '이아진', '이자영', '박도연', '임동섭']",충무아트센터 대극장,2020/11/13 ~ 2021/03/07 
10,베르나르다 알바,창작,9.8,"['정영주', '이소정', '강애심', '황석정', '한지연', '이영미', '최유하', '김려원', '임진아', '황한나', '정가희', '김환희', '김국희', '전성민', '오소연', '김히어라', '이진경', '이상아']",정동극장(서울),2021/01/22 ~ 2021/03/14 
11,스모크,창작,9.7,"['김재범', '에녹', '김경수', '임병근', '장지후', '강찬', '최민우', '김태오', '강은일', '장은아', '이정화', '허혜진']",예스24스테이지 2관,2020/12/04 ~ 2021/03/07 
12,붉은 정원,창작,9.5,"['정상윤', '박은석', '김순택', '이정화', '최미소', '전해주', '조현우', '곽다인', '정지우 ']",유니플렉스 2관,2021/02/05 ~ 2021/03/28 
13,스웨그에이지,창작,9.9,"['이호원', '양희준', '박정혁', '김수하', '문은수', '임현수', '이경수', '이창용']",예술의전당 CJ 토월극장,2021/01/05 ~ 2021/02/28 
14,쿠로이 저택엔 누가 살고 있을까,창작,10,"['정욱진', '최민우', '송나영', '홍나현', '한보라', '이아름솔', '원종환', '유성재', '김지훈', '김남호', '황두현']",플러스씨어터 (구. 컬처스페이스 엔유),2021/02/18 ~ 2021/03/21 
15,미드나잇,라이선스,9.7,"['김찬호', '이충주', '이석준', '정동화', '배두훈', '현석준', '김소향', '최연우', '김수연', '김문학']",백암아트홀,2020/12/01 ~ 2021/02/21 
16,마지막 사건,창작,8,"['김종구', '홍승안', '김찬종', '정민', '조풍래', '백기범']",대학로 드림아트센터 2관,2021/02/15 ~ 2021/05/09 
17,고추장 떡볶이,어린이/가족,9.8,"['박찬호', '박한돌', '안소연', '김지윤', '손현정', '이상근', '이동호']",학전블루소극장,2021/01/09 ~ 2021/02/28 
18,캣츠,오리지널,9.4,[],세종문화회관 대극장,2021/01/22 ~ 2021/02/28 
19,판다스틱,뮤지컬,,"['최영도', '정재혁', '천정하', '이승우', '김욱헌']",해오름 예술극장,2020/10/09 ~ 오픈런 
20,하모니,창작,6,"['윤복희', '강효성', '진도희', '김하연']",예스24스테이지 1관,2021/02/18 ~ 2021/03/01 
21,카붐 시즌2 왓썹 인 제주,퍼포먼스,,[],폴리파크 왓썹전용관,2014/12/12 ~ 오픈런 
22,향화 ,창작,,"['송문선', '김나니', '강상준', '신상언', '최인형', '고미경', '금승훈']",경기아트센터 대극장,2021/02/19 ~ 2021/02/21 
23,난타 ,창작,9.2,[],제주 난타 전용극장,2017/01/10 ~ 오픈런 
24,프리즌,창작,8.9,"['유민휘', '남용섭', '이석준', '한희도', '장원준', '정재용', '신강림', '김단', '장윤석', '원주', '문광욱', '정재용', '김대권', '유정하', '임한솔', '이현', '윤경도', '최유석', '정태영', '황윤제', '강대운', '최린', '김보원', '강지혜', '강지연', '지서율']",대학로 극장가게,2020/04/29 ~ 2021/02/28 
